                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8791,                 4.7402,                 4.1313,                0.00119,                0.07287,                0.00158,                0.00059,                 4.0732,                 13.613,                 3.5436,             0.00065909,             0.00065909,             0.00065909
                      2,                 3.4405,                 4.0484,                 3.6299,                0.06052,                0.01003,                0.00351,                0.00087,                 3.7892,                 11.379,                 3.1553,              0.0012995,              0.0012995,              0.0012995
                      3,                 3.1469,                  3.566,                 3.1844,                0.05824,                0.06112,                0.01019,                0.00253,                  3.765,                 26.911,                 2.6599,              0.0019135,              0.0019135,              0.0019135
                      4,                 3.0196,                 3.2764,                 2.8327,                0.11858,                0.07052,                0.02505,                0.00701,                 3.4286,                 16.939,                 2.3388,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.8953,                 2.9869,                 2.6549,                 0.1045,                0.05485,                0.01884,                0.00694,                 3.2789,                 3.5234,                 2.2622,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.7778,                 2.7551,                 2.5442,                0.12856,                0.08024,                0.03134,                 0.0105,                 3.1189,                 3.4557,                    2.1,               0.001802,               0.001802,               0.001802
                      7,                 2.6875,                 2.6767,                 2.4396,                 0.1279,                 0.0782,                 0.0388,                0.01471,                 3.0898,                 3.7966,                 2.0623,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.5728,                 2.4918,                 2.3335,                0.23909,                0.14183,                 0.0918,                0.03407,                 2.9148,                   2.74,                 1.8995,              0.0017228,              0.0017228,              0.0017228
                      9,                  2.485,                 2.3922,                 2.2928,                0.25002,                0.12506,                0.07974,                0.03179,                 2.8663,                 3.0122,                 1.8895,              0.0016832,              0.0016832,              0.0016832
                     10,                  2.441,                 2.3449,                 2.2346,                0.25066,                0.11848,                0.08198,                0.03257,                 2.8532,                 3.2452,                 1.8952,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.3068,                 2.2446,                  2.124,                0.30459,                0.16016,                0.11785,                0.05142,                 2.6176,                 3.4361,                 1.7683,               0.001604,               0.001604,               0.001604
                     12,                 2.2304,                 2.1152,                 2.1115,                0.37858,                0.17082,                0.15241,                0.07567,                 2.5269,                  2.396,                 1.7063,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.2012,                 2.0279,                 2.0186,                0.24166,                 0.1376,                0.09721,                0.04954,                 2.5683,                 15.771,                 1.7408,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.1331,                 1.9653,                 1.9216,                0.42477,                0.18978,                0.17861,                 0.0882,                 2.4602,                 2.1467,                 1.6333,              0.0014852,              0.0014852,              0.0014852
