                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8791,                 4.7402,                 4.1313,                0.00119,                0.07287,                0.00158,                0.00059,                 4.0732,                 13.613,                 3.5436,             0.00065909,             0.00065909,             0.00065909
                      2,                 3.4571,                 4.0681,                 3.6347,                0.01267,                 0.0279,                0.00364,                0.00075,                 3.5983,                  24.79,                  3.947,              0.0013192,              0.0013192,              0.0013192
                      3,                 3.1536,                 3.6018,                 3.2087,                0.02169,                0.05297,                 0.0051,                0.00143,                 3.6251,                 16.838,                 2.8496,              0.0019727,              0.0019727,              0.0019727
                      4,                 3.0037,                 3.2912,                 2.8629,                0.07257,                0.10281,                0.02278,                0.00818,                 3.3241,                 9.5043,                 2.2973,              0.0019703,              0.0019703,              0.0019703
                      5,                 2.8415,                 3.0439,                  2.639,                0.05285,                0.05955,                0.01441,                0.00511,                 3.2398,                 7.6711,                 2.1909,              0.0019604,              0.0019604,              0.0019604
                      6,                 2.7908,                 2.8596,                 2.5645,                0.11726,                0.09262,                0.04049,                0.01403,                 3.0819,                  3.312,                 2.0853,              0.0019505,              0.0019505,              0.0019505
                      7,                 2.6765,                 2.7086,                 2.4586,                0.12428,                0.08713,                0.03968,                0.01464,                 3.0605,                 4.2514,                 2.0493,              0.0019406,              0.0019406,              0.0019406
                      8,                 2.5907,                 2.5806,                 2.3785,                0.18357,                0.13462,                0.06586,                0.02421,                 2.8418,                 3.0666,                 1.9034,              0.0019307,              0.0019307,              0.0019307
                      9,                 2.5076,                 2.4581,                  2.335,                0.20747,                0.11942,                0.06591,                0.02803,                 2.7923,                 3.4252,                 1.8866,              0.0019208,              0.0019208,              0.0019208
                     10,                 2.4889,                 2.4067,                 2.2967,                0.24631,                0.14012,                0.08478,                0.03082,                 2.8542,                 3.1032,                 1.8761,              0.0019109,              0.0019109,              0.0019109
                     11,                 2.3746,                 2.3088,                 2.2259,                0.30656,                 0.1611,                0.12233,                0.05342,                 2.6523,                 2.5293,                 1.7893,               0.001901,               0.001901,               0.001901
                     12,                 2.2817,                 2.1734,                 2.1854,                0.22461,                0.13791,                0.09161,                 0.0434,                 2.6892,                 3.1451,                 1.7888,              0.0018911,              0.0018911,              0.0018911
                     13,                 2.2583,                 2.1135,                 2.0937,                0.30807,                0.17145,                0.12998,                 0.0625,                 2.5494,                  2.431,                 1.6934,              0.0018812,              0.0018812,              0.0018812
                     14,                 2.2329,                 2.0772,                  2.007,                0.36962,                0.17101,                0.14455,                0.06225,                 2.5272,                 2.3515,                 1.7242,              0.0018713,              0.0018713,              0.0018713
                     15,                  2.105,                 2.0156,                 2.0094,                0.35089,                0.18332,                0.15748,                0.07925,                  2.416,                 2.8612,                 1.6325,              0.0018614,              0.0018614,              0.0018614
                     16,                 2.0049,                 1.8821,                 1.9241,                0.32219,                0.18884,                 0.1585,                0.08542,                 2.3319,                 2.2428,                 1.5802,              0.0018515,              0.0018515,              0.0018515
                     17,                 2.0204,                 1.8871,                 1.8919,                0.39191,                0.20467,                0.17948,                0.08681,                 2.3282,                 3.6244,                 1.5857,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.9504,                 1.8163,                 1.8683,                0.45551,                0.20216,                0.20153,                0.10496,                 2.3246,                 2.2233,                 1.5353,              0.0018317,              0.0018317,              0.0018317
                     19,                 1.9068,                 1.7389,                 1.7873,                0.33766,                0.19903,                0.16063,                0.08056,                 2.3321,                 2.8449,                 1.5596,              0.0018218,              0.0018218,              0.0018218
                     20,                 1.7968,                 1.6532,                 1.7432,                0.43805,                0.19856,                0.19206,                0.10304,                 2.2495,                 2.2828,                 1.5213,              0.0018119,              0.0018119,              0.0018119
                     21,                 1.8163,                 1.6614,                 1.7017,                  0.413,                0.20577,                0.19807,                0.11044,                  2.185,                 2.0365,                 1.4503,               0.001802,               0.001802,               0.001802
                     22,                 1.7787,                 1.5782,                 1.7026,                0.44946,                0.20164,                0.19099,                0.10588,                 2.2908,                 4.5828,                 1.5158,              0.0017921,              0.0017921,              0.0017921
                     23,                  1.737,                 1.5812,                 1.6163,                0.45868,                0.21517,                0.20982,                0.11712,                 2.1681,                 1.9218,                 1.4504,              0.0017822,              0.0017822,              0.0017822
                     24,                 1.7288,                 1.5609,                 1.6453,                0.50091,                0.22034,                0.22388,                 0.1256,                 2.0921,                 1.8959,                 1.4025,              0.0017723,              0.0017723,              0.0017723
                     25,                 1.6885,                 1.4876,                 1.5965,                0.47809,                0.23554,                0.23319,                0.13366,                 2.0444,                  1.957,                 1.3676,              0.0017624,              0.0017624,              0.0017624
                     26,                 1.6542,                  1.465,                 1.5726,                0.50302,                0.22489,                 0.2351,                0.13682,                 2.0524,                 2.2988,                 1.3676,              0.0017525,              0.0017525,              0.0017525
                     27,                 1.6139,                 1.4287,                  1.554,                0.52063,                0.23382,                0.23957,                0.14261,                 2.0233,                 1.7571,                  1.362,              0.0017426,              0.0017426,              0.0017426
                     28,                 1.6055,                  1.389,                 1.5286,                0.54467,                0.24385,                0.25476,                0.14799,                 1.9908,                 1.7943,                 1.3406,              0.0017327,              0.0017327,              0.0017327
                     29,                 1.6421,                 1.4006,                 1.5451,                0.55145,                0.23756,                0.25021,                0.14824,                 1.9906,                 1.9848,                 1.3401,              0.0017228,              0.0017228,              0.0017228
                     30,                 1.5878,                 1.3958,                 1.5159,                0.54294,                0.24338,                0.25625,                0.15266,                 2.0021,                 2.5432,                 1.3142,              0.0017129,              0.0017129,              0.0017129
                     31,                 1.6014,                 1.3716,                  1.528,                0.56463,                0.24886,                0.26424,                0.16528,                 1.9079,                 1.9405,                  1.288,               0.001703,               0.001703,               0.001703
                     32,                  1.581,                 1.3415,                 1.5006,                0.52536,                0.23852,                0.25047,                0.14921,                 1.9733,                 1.8214,                 1.3178,              0.0016931,              0.0016931,              0.0016931
                     33,                 1.5132,                 1.2912,                 1.4758,                0.49975,                0.24228,                0.24921,                0.15706,                 1.9413,                 1.7792,                 1.2784,              0.0016832,              0.0016832,              0.0016832
                     34,                 1.4716,                 1.2644,                 1.4782,                0.55817,                0.24636,                0.26357,                0.16154,                 1.8969,                 1.7292,                 1.2952,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.5446,                 1.3261,                 1.4402,                0.57225,                0.25905,                0.27838,                0.17305,                  1.886,                 1.6033,                 1.2709,              0.0016634,              0.0016634,              0.0016634
                     36,                  1.451,                 1.2109,                 1.4378,                0.58678,                0.26454,                 0.2822,                0.17588,                 1.8343,                 1.6924,                 1.2552,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.5126,                 1.2795,                 1.4456,                0.56742,                0.25576,                0.27324,                0.16785,                 1.9177,                 1.6401,                 1.2654,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.4936,                 1.2405,                 1.4204,                0.61391,                0.25999,                0.28841,                0.18029,                 1.8301,                 1.6034,                 1.2427,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.4622,                 1.2299,                 1.4267,                0.62152,                0.27049,                 0.2908,                0.18297,                 1.7858,                 1.7967,                 1.2191,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.4806,                 1.2306,                 1.4221,                0.62806,                 0.2636,                0.29311,                0.18794,                 1.8201,                 1.5032,                 1.2339,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.4833,                 1.2237,                 1.4212,                0.59847,                0.27676,                  0.295,                0.18577,                 1.7973,                 2.3831,                 1.2109,               0.001604,               0.001604,               0.001604
                     42,                 1.4305,                 1.1443,                 1.3726,                0.61236,                0.27284,                0.29074,                0.18625,                 1.7801,                 1.5945,                 1.2135,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.3923,                 1.1528,                 1.3873,                 0.6086,                0.27206,                0.29997,                0.19403,                 1.7666,                 1.4732,                 1.2044,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.3871,                 1.1453,                 1.3446,                0.62625,                0.26673,                0.29453,                0.19608,                 1.7803,                 1.4824,                 1.2027,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.3454,                 1.1522,                 1.3601,                0.64719,                0.27598,                0.29942,                 0.1962,                 1.7544,                 1.6405,                 1.1903,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.3553,                 1.1028,                 1.3376,                0.64231,                0.27566,                0.30346,                0.19798,                 1.7434,                 1.4475,                 1.2027,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.3423,                  1.102,                 1.3375,                0.66366,                0.27675,                0.30493,                0.19392,                 1.7183,                 1.8067,                  1.189,              0.0015446,              0.0015446,              0.0015446
                     48,                  1.337,                 1.1177,                 1.3443,                0.68378,                0.27221,                 0.3147,                0.21272,                 1.6759,                  1.427,                  1.155,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.3062,                 1.1152,                 1.3249,                0.64455,                0.27942,                0.30804,                0.20554,                 1.6946,                 1.5296,                 1.1677,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.3727,                 1.1207,                 1.3311,                0.64909,                0.28773,                0.32443,                 0.2165,                 1.7009,                 1.3464,                 1.1552,              0.0015149,              0.0015149,              0.0015149
                     51,                  1.325,                 1.0572,                 1.3006,                0.69289,                0.27942,                0.32204,                0.20853,                 1.7045,                 1.3668,                 1.1584,               0.001505,               0.001505,               0.001505
                     52,                 1.3082,                 1.0801,                 1.3169,                0.66101,                0.29133,                0.31537,                0.21092,                 1.6522,                 1.4135,                 1.1462,              0.0014951,              0.0014951,              0.0014951
                     53,                  1.294,                 1.0238,                 1.3057,                0.65101,                0.27754,                0.32282,                0.21228,                 1.6934,                  1.472,                 1.1546,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.2878,                  1.042,                 1.3115,                0.67576,                0.29839,                0.33439,                0.22157,                 1.6191,                 1.3538,                 1.1236,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.2997,                 1.0276,                 1.2877,                 0.6547,                   0.29,                0.31727,                 0.2093,                 1.6623,                 1.3817,                 1.1354,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.3184,                 1.0732,                 1.2895,                0.64985,                0.29776,                0.32287,                0.21579,                 1.6123,                  1.491,                 1.1235,              0.0014555,              0.0014555,              0.0014555
                     57,                  1.284,                 1.0337,                 1.3032,                0.62742,                0.29024,                0.32834,                0.21688,                 1.6268,                 1.3455,                 1.1353,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.2951,                 1.0134,                 1.3024,                0.69535,                0.30403,                0.34122,                0.22909,                   1.59,                  1.268,                 1.1084,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.2533,                0.97832,                 1.2675,                0.64805,                0.29745,                 0.3238,                0.21836,                 1.6017,                 1.3426,                 1.1049,              0.0014258,              0.0014258,              0.0014258
                     60,                 1.2498,                0.99781,                 1.2648,                0.73134,                0.30983,                0.34993,                0.23125,                  1.598,                 1.2869,                 1.0987,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.2441,                0.96329,                  1.259,                0.66765,                0.29901,                0.33012,                0.21887,                 1.6156,                 1.2953,                 1.1151,               0.001406,               0.001406,               0.001406
                     62,                 1.2533,                0.97921,                  1.242,                0.68159,                0.30654,                0.34329,                0.22762,                 1.6015,                 1.2586,                 1.1076,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.2333,                0.94449,                 1.2537,                0.71349,                0.30559,                0.34417,                 0.2331,                 1.5545,                 1.2126,                 1.0953,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.2008,                0.95237,                 1.2508,                0.67241,                 0.2953,                 0.3341,                0.22449,                 1.5896,                 1.2864,                 1.1059,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.2305,                0.97941,                 1.2599,                0.71621,                0.30544,                0.34164,                0.22802,                  1.575,                 1.2791,                 1.0894,              0.0013664,              0.0013664,              0.0013664
                     66,                 1.2417,                0.96963,                 1.2514,                0.68668,                0.30512,                0.34768,                 0.2337,                 1.5463,                 1.2346,                 1.0805,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.2562,                0.96105,                  1.239,                0.70431,                0.31108,                0.34461,                0.23334,                 1.5451,                  1.282,                 1.0841,              0.0013466,              0.0013466,              0.0013466
                     68,                 1.1718,                0.90717,                 1.2099,                0.70803,                0.30873,                0.34213,                0.23467,                 1.5312,                 1.3679,                 1.0738,              0.0013367,              0.0013367,              0.0013367
                     69,                 1.1923,                0.95331,                 1.2221,                0.76227,                0.30309,                0.35442,                0.24701,                 1.4754,                 1.1914,                 1.0562,              0.0013268,              0.0013268,              0.0013268
                     70,                 1.1741,                0.92167,                 1.2353,                0.72548,                0.31155,                0.35887,                0.24299,                 1.5586,                 1.1985,                   1.08,              0.0013169,              0.0013169,              0.0013169
                     71,                 1.1925,                0.90881,                 1.2122,                0.69975,                0.29949,                0.33581,                0.22698,                 1.5804,                  1.293,                 1.0999,               0.001307,               0.001307,               0.001307
                     72,                 1.1389,                 0.8835,                 1.2094,                0.72995,                0.31735,                0.35966,                0.24445,                 1.4959,                  1.183,                  1.065,              0.0012971,              0.0012971,              0.0012971
                     73,                 1.1787,                0.90968,                 1.2127,                0.71953,                0.31656,                0.36141,                0.25044,                 1.4778,                 1.1481,                 1.0542,              0.0012872,              0.0012872,              0.0012872
                     74,                 1.1934,                0.90839,                 1.2186,                0.72715,                0.31406,                0.35234,                0.24348,                 1.5076,                 1.2338,                 1.0653,              0.0012773,              0.0012773,              0.0012773
                     75,                 1.1705,                0.91195,                 1.2076,                0.73419,                0.31672,                0.36456,                0.25251,                 1.4775,                 1.1329,                  1.054,              0.0012674,              0.0012674,              0.0012674
                     76,                 1.1545,                0.89949,                 1.1997,                0.73426,                0.31653,                0.36035,                0.24595,                 1.4664,                 1.1769,                  1.051,              0.0012575,              0.0012575,              0.0012575
                     77,                 1.1295,                0.89541,                 1.1953,                0.72508,                0.31594,                 0.3562,                0.24928,                 1.4605,                 1.1324,                 1.0522,              0.0012476,              0.0012476,              0.0012476
                     78,                 1.1743,                0.90769,                 1.2227,                0.73314,                0.31437,                0.35806,                0.24225,                 1.4773,                 1.1876,                 1.0517,              0.0012377,              0.0012377,              0.0012377
                     79,                 1.1279,                0.88105,                 1.1976,                0.66831,                0.32366,                0.35938,                0.24927,                 1.4837,                 1.2007,                  1.052,              0.0012278,              0.0012278,              0.0012278
                     80,                 1.1809,                0.90003,                 1.1827,                0.74765,                0.32095,                0.36315,                0.25087,                 1.4563,                 1.1566,                 1.0414,              0.0012179,              0.0012179,              0.0012179
                     81,                 1.1386,                0.86903,                 1.1776,                0.74123,                0.31202,                0.35167,                0.24663,                 1.4791,                 1.1533,                 1.0511,               0.001208,               0.001208,               0.001208
                     82,                 1.1562,                0.87717,                 1.1795,                0.70837,                0.32546,                0.36328,                0.25121,                 1.4686,                 1.1549,                 1.0387,              0.0011981,              0.0011981,              0.0011981
                     83,                 1.1355,                0.86661,                 1.1891,                0.73818,                0.32127,                0.36743,                0.25467,                 1.4464,                  1.147,                 1.0374,              0.0011882,              0.0011882,              0.0011882
                     84,                 1.1195,                0.88205,                 1.1966,                0.71134,                0.32283,                0.36529,                0.25196,                  1.446,                 1.1285,                 1.0323,              0.0011783,              0.0011783,              0.0011783
                     85,                 1.0828,                0.83877,                 1.1742,                0.73765,                0.33179,                0.36787,                0.25569,                 1.4329,                 1.1453,                 1.0318,              0.0011684,              0.0011684,              0.0011684
                     86,                  1.178,                0.87718,                 1.1828,                0.73987,                0.31829,                 0.3602,                0.25503,                 1.4226,                  1.184,                  1.028,              0.0011585,              0.0011585,              0.0011585
                     87,                 1.1326,                0.84751,                 1.1699,                0.72364,                0.33271,                 0.3742,                0.25746,                 1.4327,                 1.0886,                 1.0264,              0.0011486,              0.0011486,              0.0011486
                     88,                 1.0991,                0.84397,                 1.1665,                0.75816,                0.32503,                0.37928,                0.26594,                 1.3773,                 1.0982,                 1.0117,              0.0011387,              0.0011387,              0.0011387
