                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5221,                 1.2922,                 1.4287,                  0.571,                0.26297,                0.28044,                0.17596,                 1.8667,                  1.613,                 1.2496,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.4382,                 1.2059,                 1.4259,                0.62877,                0.26187,                0.29342,                0.18255,                  1.798,                 1.5445,                 1.2232,               0.001307,               0.001307,               0.001307
                     37,                 1.4924,                 1.2711,                 1.4398,                0.61137,                0.26218,                0.28204,                0.17288,                 1.8689,                 1.6599,                 1.2359,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.4692,                 1.2286,                 1.4155,                0.63353,                0.26501,                0.29522,                 0.1907,                 1.7962,                  1.539,                 1.2218,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.4404,                 1.2087,                 1.4288,                0.57179,                0.27707,                0.29038,                0.18925,                 1.7239,                 1.6286,                 1.1966,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.4528,                 1.2248,                 1.4032,                0.63512,                0.27112,                0.30192,                0.19258,                 1.8171,                 1.5127,                 1.2181,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.4655,                 1.2299,                 1.4085,                0.65827,                0.27954,                0.30343,                0.19239,                 1.7741,                 1.9492,                 1.1942,               0.001208,               0.001208,               0.001208
                     42,                 1.3942,                 1.1288,                 1.3604,                0.67135,                0.27787,                0.30878,                0.19995,                 1.7304,                 1.4842,                 1.1775,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.3608,                 1.1196,                 1.3808,                0.66482,                0.27914,                 0.3112,                 0.2055,                 1.6902,                 1.4645,                 1.1681,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.3776,                 1.1264,                 1.3447,                0.68498,                0.28146,                0.31485,                0.20434,                  1.712,                 1.4299,                 1.1803,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.3163,                 1.1185,                 1.3509,                0.61702,                0.28631,                0.31149,                0.20034,                 1.7294,                 1.4348,                 1.1709,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.3263,                 1.0937,                 1.3273,                0.64586,                0.28209,                0.30757,                0.19874,                 1.7648,                 1.4287,                 1.1917,               0.001109,               0.001109,               0.001109
                     47,                 1.3028,                 1.0645,                 1.3211,                0.64197,                0.29133,                0.31379,                0.20502,                 1.6705,                 1.7523,                 1.1588,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.2993,                 1.0836,                 1.3325,                0.68303,                0.28099,                0.31837,                  0.212,                 1.6895,                 1.4197,                 1.1538,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.2948,                 1.0695,                 1.3196,                0.73045,                0.27942,                0.31738,                0.20934,                 1.6755,                 1.4086,                 1.1484,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.3518,                 1.0838,                 1.3254,                0.67399,                0.28883,                0.32207,                0.21266,                 1.6547,                 1.3937,                 1.1433,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.3078,                 1.0425,                 1.3079,                0.66446,                0.29793,                0.32196,                 0.2033,                 1.7045,                 1.7801,                 1.1543,                0.00101,                0.00101,                0.00101
                     52,                 1.2988,                 1.0493,                 1.3151,                0.66533,                0.29193,                0.32414,                0.21486,                 1.6569,                  1.365,                 1.1331,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.2848,                 1.0075,                 1.2996,                0.65953,                0.28658,                0.32341,                0.21543,                  1.634,                 1.3542,                  1.124,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.2739,                 1.0239,                 1.3034,                 0.7184,                0.29385,                0.33381,                0.22268,                 1.6141,                 1.3201,                 1.1209,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.2791,                  1.006,                 1.2862,                0.72526,                0.29024,                0.33082,                0.22165,                 1.6079,                 1.2955,                 1.1153,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.2827,                 1.0207,                 1.2712,                0.69327,                0.29713,                0.33725,                0.22708,                 1.5836,                 1.2787,                 1.0939,               0.000911,               0.000911,               0.000911
                     57,                 1.2653,                 1.0102,                 1.2957,                0.70566,                0.29196,                0.32933,                0.22357,                 1.5931,                 1.3801,                 1.1087,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.2664,                0.98602,                  1.294,                0.74703,                0.29556,                 0.3374,                0.22812,                  1.581,                 1.2658,                 1.1008,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.2032,                0.93543,                 1.2518,                0.72899,                0.30324,                0.34218,                0.23118,                 1.5719,                  1.303,                 1.0894,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.2271,                0.96257,                 1.2648,                0.74103,                0.30873,                0.34509,                0.23128,                 1.5749,                 1.3346,                  1.096,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.2246,                0.94398,                 1.2536,                0.72509,                 0.3034,                 0.3421,                0.23191,                 1.5621,                 1.2561,                 1.0868,               0.000812,               0.000812,               0.000812
                     62,                 1.2211,                0.95081,                 1.2343,                0.74494,                0.30072,                0.34584,                0.23451,                 1.5342,                 1.2514,                 1.0806,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1996,                 0.9177,                 1.2335,                0.68732,                0.30183,                 0.3396,                0.23032,                 1.5656,                 1.3018,                 1.0891,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1662,                0.93022,                 1.2365,                0.71913,                0.30324,                0.34308,                0.23373,                 1.5258,                 1.3607,                 1.0896,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1746,                0.92318,                 1.2513,                0.71988,                0.31092,                0.35047,                0.23763,                 1.5321,                 1.2249,                 1.0722,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.2098,                 0.9418,                 1.2369,                0.72377,                0.30732,                 0.3462,                0.23464,                 1.5167,                 1.2351,                 1.0714,               0.000713,               0.000713,               0.000713
                     67,                 1.2279,                0.94003,                 1.2323,                0.77183,                0.30842,                0.35512,                 0.2437,                 1.5119,                  1.222,                 1.0697,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1381,                0.88445,                 1.2021,                0.73164,                0.31766,                0.35256,                0.24106,                 1.5334,                  1.303,                  1.062,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.1774,                0.91642,                 1.2185,                0.74701,                0.30795,                0.35298,                0.24325,                 1.5106,                 1.2142,                 1.0592,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.1634,                0.89446,                  1.235,                0.74364,                0.31061,                0.35737,                 0.2448,                 1.4898,                 1.1737,                  1.047,              0.0006338,              0.0006338,              0.0006338
                     71,                  1.162,                0.87926,                 1.2068,                0.75883,                0.31114,                0.35817,                0.24634,                 1.4995,                 1.1707,                 1.0527,               0.000614,               0.000614,               0.000614
                     72,                 1.1146,                0.86894,                 1.2042,                0.76054,                0.31456,                0.35702,                0.24583,                 1.4958,                 1.2147,                 1.0637,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.1462,                0.87747,                 1.2019,                   0.74,                0.31421,                0.35755,                0.24681,                 1.4874,                 1.1828,                 1.0497,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.1485,                0.86643,                 1.2071,                0.76302,                0.31766,                0.36654,                0.25539,                 1.4471,                 1.1471,                 1.0423,              0.0005546,              0.0005546,              0.0005546
                     75,                  1.124,                0.86114,                 1.2029,                0.75231,                0.31415,                0.36332,                0.25027,                 1.4682,                 1.1461,                 1.0366,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.1368,                 0.8673,                 1.2002,                0.74742,                0.31581,                0.36033,                0.25091,                 1.4612,                 1.1525,                 1.0391,               0.000515,               0.000515,               0.000515
                     77,                 1.0842,                0.84946,                 1.1852,                0.76836,                0.31312,                0.36653,                 0.2545,                 1.4499,                 1.1343,                 1.0355,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.1067,                0.85212,                 1.1988,                0.70434,                0.32503,                0.36164,                0.24948,                 1.4534,                  1.153,                 1.0397,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0734,                0.84199,                 1.1786,                 0.7437,                0.32468,                0.36654,                0.25878,                 1.4216,                 1.1082,                 1.0293,              0.0004556,              0.0004556,              0.0004556
